Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,17,2,9500,1,1,127.0,1,3,3,1,10,-0.5729178808886977,1,0,0,1,1,0,19,0,0,7,9,6,0.4755099587959589,0,0,7,7,6,0.6713225405911951,0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,1
1,44,1,9003,1,39,150.0,1,4,5,4,2,1.62686009351737,0,0,0,1,1,0,21,0,0,6,15,5,0.25292709352169684,0,0,6,17,5,0.06677770433138408,0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,1
1,51,1,9070,1,1,125.0,1,42,3,125,124,0.2167460073596345,1,0,0,1,1,0,20,0,2,6,7,6,0.4548274801642801,0,0,6,9,4,0.6104561793326371,0,-1.0009723271182625,0.12438647318417584,1.545606837207885,2
1,1,1,9147,1,1,143.0,1,1,1,4,6,0.8371962052690389,0,0,0,0,1,0,18,0,0,5,9,3,0.1445903006890912,0,0,5,8,2,0.62967713551955,0,-1.0009723271182625,0.12438647318417584,1.545606837207885,1
1,18,1,8014,0,1,138.0,1,19,1,9,5,0.534021676745125,1,0,0,1,0,0,19,0,0,6,6,6,0.42035668244481444,0,0,6,8,6,0.7978605021550386,0,0.3130637486001926,-0.5265824826913685,0.7877903830865802,2
1,1,1,9991,0,1,130.0,1,2,37,3,9,0.31545399339067637,0,0,0,1,1,0,34,0,0,5,6,5,0.3652034060936699,0,0,5,9,5,0.6159478811003265,0,0.8762220667652447,-1.1052215545807416,0.347199421388147,2
1,39,1,33,1,1,130.0,1,38,37,9,6,-1.7221608611072519,0,0,1,0,1,0,37,0,0,7,7,0,-2.1994239442345584,0,0,7,7,1,-0.04305633102240432,0,-1.0009723271182625,0.12438647318417584,1.545606837207885,0
1,39,1,9119,1,10,133.1,1,34,37,0,0,0.13213916219017116,1,0,0,1,1,0,43,0,0,5,0,0,-2.1994239442345584,0,0,5,0,0,-1.9651519497137022,0,-1.4890428695279747,0.9923450810182353,0.14012166938988344,0
1,43,1,9147,1,1,140.0,1,37,37,6,6,-0.28384449322636124,0,0,0,1,0,0,55,0,0,5,10,1,-0.1311760810666324,0,0,5,8,2,0.3413627927158553,2,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,0
4,39,1,9991,0,1,120.0,1,19,19,9,3,-0.9183958319973422,1,0,0,1,0,0,39,0,0,5,8,5,0.07564870525016021,0,0,5,5,5,0.2644789679682033,0,-1.4890428695279747,0.9923450810182353,0.14012166938988344,2
1,44,1,9130,1,39,120.0,6,4,4,3,6,-0.4883110357192333,0,0,1,0,0,0,20,1,2,6,13,3,0.21353189612802181,0,1,6,11,3,0.3413627927158553,0,0.3130637486001926,-0.5265824826913685,0.7877903830865802,0
1,1,5,9773,1,1,126.0,1,3,3,2,2,-0.41075476098055824,0,0,1,1,0,0,18,0,0,6,6,4,0.43759208130454724,0,0,5,5,0,-1.9651519497137022,0,0.4256954122332026,1.7879738048661231,-0.7498720732409514,0
1,1,2,9147,1,1,133.0,1,3,19,2,7,-0.46010875399607815,1,0,0,1,0,0,22,0,0,5,5,5,0.8615828932539723,0,0,5,5,5,1.0717591278185485,0,-1.0009723271182625,0.12438647318417584,1.545606837207885,2
1,1,6,9500,1,1,103.0,1,1,3,2,2,-1.8561216992922371,1,1,0,1,0,0,22,0,0,7,9,5,0.6812316795857292,0,0,8,9,7,0.7916823376663877,0,-0.17500679380951956,-0.454252598705197,0.8891263042772198,2
1,17,1,9773,1,1,120.0,1,1,38,5,5,-0.38960304968819137,0,0,0,0,0,0,20,0,0,6,7,4,0.4892982778837454,0,0,6,7,5,0.6873400040802891,0,0.3130637486001926,-0.5265824826913685,0.7877903830865802,0
1,39,1,9991,0,1,133.1,1,37,37,9,9,-1.214519790090467,0,0,0,1,0,0,29,0,0,5,0,0,-2.1994239442345584,0,0,5,0,0,-1.9651519497137022,0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,0
1,17,1,9991,0,1,154.0,1,38,38,4,5,0.5058193950219699,0,0,0,1,0,0,24,0,0,5,9,2,0.1790610984085565,0,0,5,11,3,0.7898517704104916,1,-1.4890428695279747,0.9923450810182353,0.14012166938988344,1
1,17,2,9238,1,1,130.0,1,19,19,9,9,0.04753231702070583,1,0,0,1,0,0,18,0,0,6,6,6,0.21353189612802181,0,0,6,8,5,0.5720142669588109,0,-0.17500679380951956,-0.454252598705197,0.8891263042772198,2
1,17,6,9500,1,1,132.0,1,37,19,7,7,0.38595969769856314,1,0,0,1,0,1,22,0,0,7,8,6,0.5961577508140881,0,0,8,9,7,0.6818483023125996,0,-0.17500679380951956,-0.454252598705197,0.8891263042772198,2
1,44,1,8014,0,39,130.0,1,1,19,9,9,0.4564654020064499,0,0,0,1,0,1,21,0,3,6,6,6,0.1790610984085565,0,2,6,7,6,0.5884893722618795,0,0.3130637486001926,-0.5265824826913685,0.7877903830865802,2
1,1,1,9238,1,1,139.0,1,37,38,9,9,-0.05822623944112434,0,0,0,1,0,1,19,0,0,6,7,5,0.3514150870058838,0,0,6,7,6,0.5015374276067969,0,0.4256954122332026,1.7879738048661231,-0.7498720732409514,2
1,39,1,9254,1,1,130.0,1,19,38,9,7,-0.9465981137204973,0,0,0,1,0,1,24,0,0,6,6,6,0.6271814687616071,0,0,6,6,6,0.757816843432303,0,0.3130637486001926,-0.5265824826913685,0.7877903830865802,2
1,1,1,9500,1,1,139.0,1,37,38,6,6,-0.39665362011898064,1,0,0,1,0,1,19,0,0,8,10,6,0.2480026938474875,0,0,8,10,6,0.3093278657376671,0,-0.8132528877299118,-1.4668709745115993,-1.3755112388527264,1
1,1,1,9773,1,1,127.0,1,1,19,7,7,-0.3614007679650373,1,0,0,1,0,1,20,0,0,6,11,4,0.696123064200538,0,0,6,12,3,0.14915323084672547,0,-0.8132528877299118,-1.4668709745115993,-1.3755112388527264,1
1,1,3,9130,1,1,167.0,1,37,37,90,90,2.2825631435807177,0,0,0,1,0,0,19,0,0,5,7,5,0.8438550544268183,0,0,5,5,5,1.0717591278185485,0,-1.4890428695279747,0.9923450810182353,0.14012166938988344,2
1,39,1,9991,0,1,130.0,1,38,38,9,9,-0.4883110357192333,0,0,0,1,0,0,27,0,0,5,12,5,-0.007081209276556914,0,0,5,10,5,0.14915323084672547,0,-0.8132528877299118,-1.4668709745115993,-1.3755112388527264,0
1,1,1,9500,1,1,130.0,1,1,19,5,5,0.153290873482536,1,0,0,1,0,0,18,0,0,7,9,7,0.4984904906089362,0,0,8,10,8,0.6479370438971174,0,1.476924272807967,1.1370048489905784,-1.7896667428492534,2
2,7,1,9254,1,3,130.0,1,1,3,4,3,0.2167460073596345,0,0,0,1,0,0,39,0,0,6,10,0,-2.1994239442345584,0,0,6,6,0,-1.9651519497137022,0,0.3130637486001926,-0.5265824826913685,0.7877903830865802,0
1,39,1,9130,1,40,129.0,1,3,3,2,2,2.000540326349171,1,0,0,1,0,0,27,0,0,6,9,5,0.4892982778837454,0,5,11,13,10,0.5143513983980721,0,0.3130637486001926,-0.5265824826913685,0.7877903830865802,0
1,17,1,9500,1,1,141.0,1,38,38,7,10,0.9077019095769258,1,0,0,1,0,0,18,0,0,8,8,8,0.8895042394067392,0,0,8,8,8,0.9054978568017513,0,-0.8132528877299118,-1.4668709745115993,-1.3755112388527264,2
1,1,3,171,1,1,125.0,1,38,37,4,9,-0.8267384163970896,1,0,0,1,0,0,18,0,0,0,0,0,-2.1994239442345584,0,0,0,0,0,-1.9651519497137022,0,-1.4890428695279747,0.9923450810182353,0.14012166938988344,1
1,1,2,9500,1,1,125.0,1,19,19,9,9,-0.8478901276894555,0,0,0,1,0,0,18,0,0,7,8,6,0.5168749160593177,0,0,8,12,7,0.3839234814154483,0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,2
1,44,1,9238,1,39,130.0,1,19,1,9,9,0.3507068455446198,0,0,0,1,0,1,21,0,3,6,7,6,0.28247349156695284,0,2,6,7,6,0.3413627927158553,0,0.8762220667652447,-1.1052215545807416,0.347199421388147,2
1,17,3,171,1,1,133.0,1,1,37,4,7,-0.06527680987191262,1,0,0,1,1,1,19,0,0,0,0,0,-2.1994239442345584,0,0,0,0,0,-1.9651519497137022,0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,1
1,17,1,9070,1,1,127.0,1,1,1,3,4,0.23084714822121105,1,0,0,1,1,0,19,0,0,6,6,5,0.1583786197768773,0,0,6,8,1,-0.04305633102240432,0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,1
1,43,1,9070,1,1,116.0,1,1,1,3,3,-0.4248559018421348,0,0,0,1,1,0,24,0,0,6,6,0,-2.1994239442345584,0,0,6,6,0,-1.9651519497137022,0,0.4256954122332026,1.7879738048661231,-0.7498720732409514,1
4,42,1,9500,1,19,133.1,1,1,1,5,5,-0.06527680987191262,1,0,0,1,1,0,29,0,2,7,10,5,0.2617910129352736,0,1,8,10,5,0.14915323084672547,0,0.8762220667652447,-1.1052215545807416,0.347199421388147,0
1,1,3,171,1,1,139.0,1,19,19,5,3,0.08983573960543749,1,0,0,1,1,1,19,0,0,0,0,0,-2.1994239442345584,0,0,0,0,0,-1.9651519497137022,0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,2
1,44,1,9003,1,39,130.0,1,19,37,9,9,0.2167460073596345,1,0,0,1,1,0,23,0,0,6,8,6,0.4006590837479771,0,0,6,7,6,0.42373831923119665,0,-1.0009723271182625,0.12438647318417584,1.545606837207885,2
1,1,3,9147,1,1,125.0,1,1,38,7,7,-0.481260465288445,0,0,1,1,1,0,19,0,0,5,8,5,0.11701366251351858,0,0,5,10,4,0.10110084037944303,3,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,0
1,39,1,9254,1,1,160.0,1,19,37,7,10,-1.8984251218769688,0,0,0,1,1,0,26,0,0,6,7,6,0.28247349156695284,0,0,6,8,5,0.11071131847289965,0,0.4256954122332026,1.7879738048661231,-0.7498720732409514,1
1,17,1,9147,1,1,148.0,1,38,37,5,5,0.4987688245911816,0,0,0,1,1,0,18,0,0,5,9,0,-2.1994239442345584,0,0,5,5,0,-1.9651519497137022,0,-1.4890428695279747,0.9923450810182353,0.14012166938988344,1
1,17,1,9500,1,1,150.0,1,37,19,8,4,0.27315057080594474,0,0,0,1,1,0,24,0,0,7,8,7,0.2773028719090329,0,0,8,8,8,0.6777295259868324,0,0.8762220667652447,-1.1052215545807416,0.347199421388147,2
1,1,1,171,1,1,141.0,1,19,19,5,10,0.6256790923453787,1,0,0,1,1,0,19,0,0,0,0,0,-2.1994239442345584,0,0,0,0,0,-1.9651519497137022,0,1.476924272807967,1.1370048489905784,-1.7896667428492534,0
1,17,4,9254,1,1,118.0,1,38,37,5,7,-1.0735083814746933,1,0,0,1,1,0,18,0,0,6,12,3,0.21353189612802181,0,0,6,12,1,0.3413627927158553,0,0.3130637486001926,-0.5265824826913685,0.7877903830865802,0
1,1,2,9773,1,1,142.0,1,38,38,9,9,0.42121254985250656,1,0,0,1,1,0,18,0,0,6,8,6,0.3514150870058838,0,0,6,11,3,0.405432646672232,0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,2
1,17,3,9147,1,1,120.0,1,19,19,4,7,-0.8055867051047237,1,0,1,1,1,0,18,0,0,5,8,3,-0.06223448562770142,0,0,5,11,3,0.12169472200827845,0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,0
1,18,4,9254,1,1,106.0,1,19,37,7,7,-1.4753908960296482,1,0,0,1,1,1,21,0,0,6,8,4,-0.027763687908236103,0,0,6,11,1,0.14915323084672547,0,-0.8132528877299118,-1.4668709745115993,-1.3755112388527264,0
1,17,4,9773,1,1,121.0,1,1,19,9,8,-0.4671593244268674,1,0,1,1,1,1,19,0,0,6,6,6,0.6271814687616071,0,0,6,6,6,0.5976422085413617,0,-1.0009723271182625,0.12438647318417584,1.545606837207885,2
1,17,4,9500,1,1,150.0,1,38,37,9,9,0.27315057080594474,0,0,0,1,1,1,22,0,0,7,7,7,0.8704468126675486,0,0,8,9,8,0.928669787315974,0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,2
2,39,1,8014,0,1,120.0,1,37,37,9,6,-0.6998281486428936,0,0,0,1,1,0,33,0,0,6,8,6,0.28247349156695284,0,0,6,6,6,0.2772929387594786,0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,2
1,1,6,9853,1,1,114.0,1,19,19,9,9,-1.1792669379365235,1,0,0,1,1,0,20,0,0,6,8,5,0.3238384488303112,0,0,6,7,5,0.37980470508968106,0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,0
1,39,1,9991,0,2,140.0,1,3,3,2,2,2.028742608072324,1,0,0,1,1,0,35,0,0,1,1,0,-2.1994239442345584,1,0,5,0,0,-1.9651519497137022,0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,0
1,39,1,9003,1,4,160.0,1,3,3,4,2,2.809795634653519,0,0,1,1,1,0,24,0,6,12,17,6,0.3169442892864181,0,7,12,14,10,0.5912352231457241,0,0.3130637486001926,-0.5265824826913685,0.7877903830865802,0
1,17,1,9254,1,1,120.0,1,19,19,4,4,-0.100529662025856,0,0,0,1,1,0,18,0,0,5,6,5,0.28247349156695284,0,0,5,8,3,0.21322308480310218,0,0.4256954122332026,1.7879738048661231,-0.7498720732409514,1
2,39,1,8014,0,1,130.0,1,37,37,9,6,-1.1933680787981011,1,0,0,1,0,0,33,0,0,6,7,6,0.07564870525016021,0,0,6,11,5,0.14915323084672547,0,-0.8132528877299118,-1.4668709745115993,-1.3755112388527264,2
1,42,1,9500,1,1,160.0,1,37,38,9,7,2.4024228409041246,1,0,0,1,0,1,22,0,0,8,8,7,0.5058442607890888,0,0,8,8,7,0.5489491195345154,0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,2
1,39,1,9670,1,1,120.0,1,1,19,4,5,-1.8984251218769688,0,0,0,1,0,1,25,0,0,5,7,4,-0.027763687908236103,0,0,5,7,5,0.2644789679682033,0,-0.8132528877299118,-1.4668709745115993,-1.3755112388527264,2
1,17,1,9070,1,1,124.0,1,19,38,4,0,-0.6575247260581619,1,0,0,1,1,0,20,0,0,6,9,6,0.006707109811229211,1,0,6,6,5,0.1875951432205513,0,-1.4890428695279747,0.9923450810182353,0.14012166938988344,2
1,1,6,9147,1,1,143.0,1,38,37,9,9,0.1250885917593809,1,0,0,1,1,0,23,0,0,5,6,4,0.696123064200538,0,0,5,5,5,0.6873400040802891,0,-0.17500679380951956,-0.454252598705197,0.8891263042772198,1
1,43,2,9119,1,1,115.0,1,38,19,9,6,-1.03825552932075,1,0,1,1,1,0,18,0,0,5,9,2,-0.1311760810666324,0,0,5,9,0,-1.9651519497137022,0,1.476924272807967,1.1370048489905784,-1.7896667428492534,1
1,39,1,9500,1,1,133.1,1,1,1,4,10,-1.8420205584306597,0,0,0,1,1,0,24,0,0,7,18,0,-2.1994239442345584,0,0,7,7,0,-1.9651519497137022,0,0.8762220667652447,-1.1052215545807416,0.347199421388147,0
1,17,2,9773,1,1,133.1,41,19,1,9,9,-1.545896600337535,1,0,0,0,0,0,21,1,0,6,6,6,0.696123064200538,0,0,6,6,6,0.62967713551955,0,-1.0009723271182625,0.12438647318417584,1.545606837207885,2
1,15,1,9130,1,1,133.1,41,1,1,4,4,-1.8984251218769688,0,0,0,1,0,0,26,1,0,6,7,2,0.28247349156695284,1,0,6,6,0,-1.9651519497137022,0,-1.0009723271182625,0.12438647318417584,1.545606837207885,0
2,39,1,9853,1,10,133.1,1,37,34,0,0,-0.8055867051047237,0,0,0,1,0,0,39,0,0,6,12,3,0.42035668244481444,0,0,6,14,0,-1.9651519497137022,1,-1.4890428695279747,0.9923450810182353,0.14012166938988344,0
2,39,1,8014,0,1,133.1,1,37,19,9,9,-0.9113452615665539,0,0,0,1,0,0,44,0,2,8,11,8,0.25662039327735375,0,0,6,7,6,0.405432646672232,0,0.4256954122332026,1.7879738048661231,-0.7498720732409514,2
1,15,1,9119,1,1,130.0,26,38,3,9,2,0.7102859375148419,1,0,0,1,1,0,19,1,0,5,9,5,0.696123064200538,0,0,5,11,3,0.5816247450522675,0,0.8762220667652447,-1.1052215545807416,0.347199421388147,1
1,1,5,9773,1,1,135.0,1,37,1,5,5,-0.14283308461058766,1,0,0,1,0,0,18,0,0,6,6,6,0.6271814687616071,0,0,6,6,6,0.5976422085413617,0,-1.0009723271182625,0.12438647318417584,1.545606837207885,2
1,1,5,9500,1,1,132.0,1,37,37,7,7,-0.4671593244268674,1,0,0,1,0,1,18,0,0,7,7,7,0.6444168676213399,0,0,8,9,8,0.8176153737915883,0,0.3130637486001926,-0.5265824826913685,0.7877903830865802,2
1,1,1,9085,1,1,135.0,1,1,2,9,1,0.5199205358835485,1,0,0,1,0,0,19,0,0,5,7,5,0.7374880214638964,2,0,5,7,5,0.6873400040802891,0,0.4256954122332026,1.7879738048661231,-0.7498720732409514,1
1,1,4,9500,1,1,115.0,1,3,3,2,2,-1.087609522336271,1,0,1,0,0,0,19,0,0,7,10,4,0.27420050011428126,0,0,7,7,0,-1.9651519497137022,0,0.8762220667652447,-1.1052215545807416,0.347199421388147,0
1,53,1,9085,1,42,130.0,1,38,38,9,9,0.13213916219017116,0,0,0,1,0,0,21,0,7,10,12,8,0.46344517959414633,0,4,9,14,5,0.6104561793326371,0,-1.0009723271182625,0.12438647318417584,1.545606837207885,0
1,1,4,171,1,1,133.1,1,1,1,9,10,-1.1933680787981011,1,0,0,1,0,0,20,0,0,0,0,0,-2.1994239442345584,0,0,0,0,0,-1.9651519497137022,0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,2
2,39,1,8014,0,1,130.0,1,37,37,6,5,-0.9465981137204973,1,0,0,1,0,0,36,0,0,6,0,0,-2.1994239442345584,0,0,6,0,0,-1.9651519497137022,0,-0.8132528877299118,-1.4668709745115993,-1.3755112388527264,0
4,39,1,9003,1,12,133.1,1,37,37,9,6,2.3319171365962377,0,0,0,1,0,0,43,0,13,18,19,18,0.8267492450321962,0,10,13,14,13,0.7701379691931446,1,1.476924272807967,1.1370048489905784,-1.7896667428492534,2
1,18,1,9853,1,1,123.0,1,19,19,9,7,-0.6716258669197385,1,0,0,1,0,0,19,0,0,6,0,0,-2.1994239442345584,0,0,6,0,0,-1.9651519497137022,0,-0.17500679380951956,-0.454252598705197,0.8891263042772198,0
1,51,1,9070,1,1,130.0,1,3,1,2,8,-0.33319848624188214,0,0,1,1,0,0,20,0,4,10,12,10,0.4892982778837454,0,5,11,11,11,0.3937835823165268,0,-0.17500679380951956,-0.454252598705197,0.8891263042772198,2
1,1,2,9238,1,1,122.0,1,37,38,4,7,-0.6152213034734293,1,0,0,1,0,0,19,0,0,6,0,0,-2.1994239442345584,0,0,6,0,0,-1.9651519497137022,0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,0
1,1,1,9085,1,1,113.0,1,1,1,4,4,-1.426036903014127,1,0,0,1,0,0,20,0,0,6,15,4,0.7374880214638964,0,0,6,17,4,0.5816247450522675,0,1.476924272807967,1.1370048489905784,-1.7896667428492534,0
1,1,5,9500,1,1,111.0,1,3,4,4,3,-1.3202783465522971,1,0,0,1,0,0,20,0,2,7,9,6,0.5444515542348899,0,0,7,10,5,0.39902566127659433,0,0.3130637486001926,-0.5265824826913685,0.7877903830865802,0
1,17,2,9853,1,1,133.1,1,19,1,9,3,-1.4048851917217613,1,0,0,1,0,0,20,0,0,7,12,6,0.21353189612802181,0,0,7,10,3,0.5335723545849851,0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,1
